0 , 0 , 0 , 1581357737.2290306
0 , 78 , 143 , 1581357737.2500963
39 , 141 , 206 , 1581357737.2706037
113 , 128 , 190 , 1581357737.286916
113 , 127 , 204 , 1581357737.3065124
110 , 124 , 180 , 1581357737.327425
141 , 185 , 185 , 1581357737.3567734
142 , 180 , 234 , 1581357737.3772082
144 , 188 , 183 , 1581357737.4061852
141 , 185 , 178 , 1581357737.4288018
180 , 187 , 187 , 1581357737.4557023
173 , 125 , 185 , 1581357737.4836962
177 , 124 , 181 , 1581357737.5073783
173 , 174 , 177 , 1581357737.5319662
150 , 129 , 190 , 1581357737.5479636
173 , 183 , 194 , 1581357737.5654395
140 , 188 , 181 , 1581357737.590206
139 , 181 , 181 , 1581357737.610179
174 , 133 , 188 , 1581357737.6354423
180 , 180 , 240 , 1581357737.6601088
173 , 128 , 247 , 1581357737.6836877
143 , 180 , 194 , 1581357737.7081344
141 , 181 , 181 , 1581357737.7255313
138 , 187 , 196 , 1581357737.749102
125 , 185 , 181 , 1581357737.76595
141 , 183 , 183 , 1581357737.7866673
179 , 187 , 194 , 1581357737.80694
173 , 190 , 192 , 1581357737.8321092
143 , 174 , 236 , 1581357737.8519502
175 , 123 , 180 , 1581357737.8728828
176 , 187 , 188 , 1581357737.8924937
142 , 185 , 188 , 1581357737.9090953
144 , 185 , 181 , 1581357737.925751
141 , 178 , 200 , 1581357737.941644
185 , 192 , 188 , 1581357737.9624715
142 , 180 , 206 , 1581357737.9785693
171 , 175 , 192 , 1581357737.9954796
174 , 185 , 190 , 1581357738.0117302
141 , 185 , 196 , 1581357738.0278046
173 , 192 , 192 , 1581357738.0496676
175 , 169 , 125 , 1581357738.07362
173 , 180 , 183 , 1581357738.0974019
141 , 190 , 198 , 1581357738.1136937
183 , 185 , 123 , 1581357738.1304402
174 , 121 , 180 , 1581357738.1466036
140 , 172 , 180 , 1581357738.1634946
172 , 174 , 183 , 1581357738.1795235
141 , 185 , 183 , 1581357738.1956308
174 , 185 , 190 , 1581357738.2126293
171 , 185 , 128 , 1581357738.2364767
178 , 172 , 183 , 1581357738.2524426
120 , 181 , 190 , 1581357738.2687678
140 , 121 , 192 , 1581357738.2855933
141 , 185 , 187 , 1581357738.301813
176 , 127 , 238 , 1581357738.3189485
128 , 180 , 196 , 1581357738.34046
173 , 180 , 187 , 1581357738.3597066
172 , 180 , 190 , 1581357738.3807704
172 , 181 , 181 , 1581357738.4005973
147 , 194 , 174 , 1581357738.4216692
129 , 192 , 188 , 1581357738.43767
141 , 119 , 192 , 1581357738.4537697
171 , 174 , 196 , 1581357738.4746406
185 , 185 , 185 , 1581357738.4946282
121 , 188 , 180 , 1581357738.514975
121 , 178 , 178 , 1581357738.5319664
140 , 188 , 180 , 1581357738.5483987
187 , 178 , 183 , 1581357738.5687008
139 , 177 , 192 , 1581357738.5855296
124 , 180 , 187 , 1581357738.6055188
172 , 172 , 190 , 1581357738.6428454
172 , 188 , 183 , 1581357738.6584597
177 , 178 , 192 , 1581357738.6827319
124 , 190 , 240 , 1581357738.6996565
181 , 192 , 137 , 1581357738.7212367
178 , 185 , 185 , 1581357738.740814
171 , 129 , 192 , 1581357738.7611852
138 , 187 , 180 , 1581357738.7772362
172 , 123 , 188 , 1581357738.7943134
175 , 181 , 180 , 1581357738.8103163
183 , 188 , 185 , 1581357738.8263195
175 , 181 , 185 , 1581357738.8476067
173 , 188 , 247 , 1581357738.8674521
173 , 119 , 181 , 1581357738.8856788
174 , 124 , 234 , 1581357738.9043818
178 , 185 , 190 , 1581357738.920838
138 , 196 , 244 , 1581357738.9372392
174 , 187 , 188 , 1581357738.95772
142 , 178 , 240 , 1581357738.9743454
